runner_id,model_name,dataset_name,regularization,regularization_param,timestamp,quantization_method,criterion_name,optimizer_name,verbose,train_loss,test_loss,train_accuracy,test_accuracy,epoch_train_losses,epoch_test_losses,iterations,lr,device,batch_size,seed,pretrained,num_epochs,total_weights,l1_norm,l2_norm,max_weight,min_weight,model_size_mb
ishapira,lenet,MNIST,l_infinty,0.1,2023-11-19_15-17-45,,CrossEntropyLoss,Adam,True,0.008437043871109684,0.03559507842213716,99.735,99.08,"[0.15891864870786668, 0.09805535734891892, 0.06418066923618317, 0.05810096887350082, 0.04897428324818611, 0.04419178382953008, 0.039487265092134474, 0.025172340842088064, 0.031592811402430136, 0.030420045683781306, 0.020795840700467427, 0.01709465426442524, 0.016964184875413776, 0.016263787854711213, 0.010955436883866788, 0.011408727324257295, 0.00978716078226765, 0.01193746523031344, 0.012263728381196657, 0.008437043871109684]","[0.14159582144618035, 0.09008626965656877, 0.06211112767830491, 0.05669134039524942, 0.05474729043217376, 0.05079882746748626, 0.048905856624431907, 0.03454981400249526, 0.0429325323025696, 0.04074190052202903, 0.036808730286732316, 0.03619890915770084, 0.0356041770493146, 0.039072670616331746, 0.033257053757086395, 0.04156113134461921, 0.037427750462410043, 0.039899811177789526, 0.04291215179754072, 0.03559507842213716]",4700.0,0.001,cuda:0,256,42,False,20.0,44426,2709.002080053091,34.59020371735096,0.5738341808319092,-0.5135016441345215,0.16947174072265625
ishapira,resnet18,CIFAR-10,l2,0.1,2023-11-18_14-36-15,,,,,2.3025889274597167,2.302588920211792,10.0,10.0,,,,0.001,cuda:0,256,42,False,20.0,11172042,5.860191504092654,0.11012693797238171,0.006169378757476807,-0.003989955876022577,42.617958068847656
ishapira,lenet,MNIST,l_infinty,1.0,2023-11-19_15-31-38,,CrossEntropyLoss,Adam,True,0.024977575039553144,0.0589817840186879,99.10166666666667,98.36,"[0.12586942237615587, 0.07639551884333293, 0.06460875003536543, 0.05807079621553421, 0.0394821589315931, 0.0360899649053812, 0.028155841378370922, 0.028236780390143393, 0.02216484219034513, 0.020413435067857304, 0.025176344648996988, 0.02020097995897134, 0.01613890854623169, 0.011275834813714027, 0.012016550340627631, 0.013242317187786103, 0.013177696634472037, 0.012557267441352209, 0.014870648204286893, 0.024977575039553144]","[0.115085966424644, 0.06725155259110034, 0.057450513235479596, 0.05688567074164748, 0.040859890285832805, 0.03705422049835324, 0.0333485815692693, 0.03228982898052782, 0.032053819582238796, 0.029487520708912054, 0.03665813846066594, 0.03339741002991795, 0.036556032721418885, 0.028998722378723325, 0.02949246360841207, 0.040681583422515544, 0.037426762185851115, 0.038288820929732174, 0.04552230184162036, 0.0589817840186879]",4700.0,0.001,cuda:0,256,42,False,20.0,44426,2813.9120858311653,35.64555437862873,0.45527249574661255,-0.504692554473877,0.16947174072265625
itaishapira,lenet,FashionMNIST,l1,0.0001,2023-11-07_08-38-02,,,,,0.32706600244839984,0.3576870227575302,88.14,87.26,,,,0.001,cpu,256,42,,10.0,128576,944.6619317829609,21.937262549996376,0.6824090480804443,-0.6234570145606995,0.490478515625
ishapira,lenet,MNIST,none,,2023-11-18_17-55-08,,CrossEntropyLoss,Adam,True,0.004392307885650855,0.04856045043015183,99.85166666666667,98.9,"[0.07241411439180374, 0.04596363293528557, 0.03644656053384145, 0.026803142393628757, 0.02188071156380077, 0.01747270831167698, 0.01417544867048661, 0.017842824455474814, 0.007758331157763799, 0.011634445305044452, 0.008221611981528501, 0.005966287503453593, 0.009065327442934116, 0.007316952678809563, 0.002688371918909252, 0.01143250683490187, 0.003861145197025811, 0.0038729924728783467, 0.004724429997153735, 0.004392307885650855]","[0.0661042700342834, 0.04676062422227115, 0.04250104486821219, 0.035509949823468924, 0.03766055543648545, 0.03274236592946109, 0.033378825330815744, 0.037622080019116405, 0.032078366011474284, 0.03849739466534229, 0.038478880087612195, 0.033365179576777156, 0.04316815888568526, 0.0419180079664191, 0.039678632900466616, 0.04844471495252219, 0.0385802550517461, 0.04310108528118344, 0.04479969189025578, 0.04856045043015183]",4700.0,0.001,cuda:0,256,42,False,20.0,128664,7900.661768317223,65.3963523209095,1.2315677404403687,-0.49212318658828735,0.490814208984375
itaishapira,lenet,MNIST,batch_norm,,2023-11-06_18-25-02,,,,,0.04441146742502848,0.04994284267872572,98.64833333333333,98.37,,,,0.001,cpu,256,42,,2.0,128664,6889.203655004501,54.414421223104,1.4895366430282593,-0.24515049159526825,0.490814208984375
alexo,lenet,MNIST,batch_norm,,2023-11-18_11-36-58,dynamic_quantization,,,,0.04457137313783169,0.04861613427102566,98.62333333333333,98.4,,,,0.001,cpu,256,42,False,,252263,13488.961488485336,89.61500214785337,1.4895366430282593,-0.24611186981201172,0.24819564819335938
alexo,lenet,MNIST,batch_norm,,2023-11-18_11-31-26,static_quantization,,,,0.0444114690070351,0.0499428455516696,98.64833333333333,98.37,,,,0.001,cpu,256,42,False,,249717,13366.98686889559,83.67518761754036,1.4895366430282593,-0.24611186981201172,0.23848342895507812
ishapira,lenet,MNIST,l_infinty,0.1,2023-11-18_20-02-44,,CrossEntropyLoss,Adam,True,0.011689152530953288,0.039457476525377934,99.58,98.95,"[0.16419986687501273, 0.08893503992557526, 0.06144935001532237, 0.051782409512996674, 0.04870402960379919, 0.04394742334783077, 0.03547671890606483, 0.025066704601049424, 0.02329306341856718, 0.021672270090381304, 0.01927159999758005, 0.016400800444185733, 0.017900783802072207, 0.019041337143381437, 0.019815670098364352, 0.011801629302029808, 0.01452251604894797, 0.012291280655314525, 0.022463864666223524, 0.011689152530953288]","[0.14625116530656815, 0.08176275549605488, 0.05759755432605743, 0.048474865702539685, 0.049413873971998694, 0.04577716024564579, 0.04052687590317801, 0.03189557745652273, 0.03339975665332749, 0.03278771209511906, 0.03340491075967438, 0.031017484208755195, 0.03473927513163071, 0.03899147717519663, 0.03984506356157363, 0.036540432865871116, 0.0375761521268636, 0.03698175762141764, 0.04745180215311702, 0.039457476525377934]",4700.0,0.001,cuda:0,256,42,False,20.0,44426,2727.099936246872,34.60551981627941,0.5572009086608887,-0.5900546312332153,0.16947174072265625
itaishapira,lenet,MNIST,l_infinty,0.01,2023-11-07_07-53-57,,,,,0.034731283232197166,0.03609186041536741,98.92,98.77,,,,0.001,cpu,256,42,,10.0,128576,8051.085014224052,59.48085691034794,0.4988082945346832,-1.2238068580627441,0.490478515625
