runner_id,model_name,dataset_name,regularization,regularization_param,train_loss,test_loss,train_accuracy,test_accuracy,timestamp,epochs,lr,device,batch_size,seed,total_weights,l1_norm,l2_norm,max_weight,min_weight,model_size_mb,quantization_method,pretrained,verbose,epoch_train_losses,epoch_test_losses,criterion_name,optimizer_name,num_epochs
itaishapira,lenet,FashionMNIST,dropout,0.3,0.3170634151776632,0.3500826246023178,88.41166666666666,87.06,2023-11-07_08-22-51,10.0,0.001,cpu,256,42,128576,17564.726012051105,109.33593398332596,0.4973980188369751,-1.3193784952163696,0.490478515625,,,,,,,,
itaishapira,lenet,FashionMNIST,dropout,0.5,0.43001796555519106,0.4547462253093719,83.83166666666666,82.62,2023-11-07_08-25-19,10.0,0.001,cpu,256,42,128576,18891.004029273987,111.72997105121613,0.4571635127067566,-0.9596465826034546,0.490478515625,,,,,,,,
itaishapira,lenet,FashionMNIST,dropout,0.7,0.5175938970565795,0.5295727016925812,79.925,79.31,2023-11-07_08-27-48,10.0,0.001,cpu,256,42,128576,18335.81567490101,100.24276226758957,0.5591225028038025,-0.5858410596847534,0.490478515625,,,,,,,,
itaishapira,lenet,FashionMNIST,l1,0.1,6.90107069905599,6.901070584869385,10.0,10.0,2023-11-07_08-30-23,10.0,0.001,cpu,256,42,128576,16.07623420166783,0.1308462870074436,0.013865964487195015,-0.0006291143945418298,0.490478515625,,,,,,,,
itaishapira,lenet,FashionMNIST,l1,0.01,2.3674051342010496,2.367405160522461,10.0,10.0,2023-11-07_08-32-52,10.0,0.001,cpu,256,42,128576,87.22008729103254,10.478142804349773,1.4043956995010376,-0.0006535786669701338,0.490478515625,,,,,,,,
itaishapira,lenet,FashionMNIST,l1,0.001,0.4897164969444275,0.514243455696106,82.22,81.51,2023-11-07_08-35-27,10.0,0.001,cpu,256,42,128576,246.4018286750652,14.686425847467035,0.8400872945785522,-0.836717963218689,0.490478515625,,,,,,,,
itaishapira,lenet,FashionMNIST,l1,0.0001,0.32706600244839984,0.3576870227575302,88.14,87.26,2023-11-07_08-38-02,10.0,0.001,cpu,256,42,128576,944.6621415913105,21.937262073159218,0.6824090480804443,-0.6234570145606995,0.490478515625,,,,,,,,
itaishapira,lenet,FashionMNIST,l2,0.1,2.3083416906992595,2.309077624130249,10.0,10.0,2023-11-07_08-40-30,10.0,0.001,cpu,256,42,128576,168.24543495476246,5.663764212280512,0.2126200944185257,-0.1487278938293457,0.490478515625,,,,,,,,
itaishapira,lenet,FashionMNIST,l2,0.01,0.5096504468123119,0.5377732532978058,81.055,80.25,2023-11-07_08-43-06,10.0,0.001,cpu,256,42,128576,532.883405521512,12.291393496096134,0.3295963704586029,-0.40265727043151855,0.490478515625,,,,,,,,
itaishapira,lenet,FashionMNIST,l2,0.001,0.3394382316907247,0.3703719219684601,87.76166666666667,86.86,2023-11-07_08-45-31,10.0,0.001,cpu,256,42,128576,1190.6082233786583,20.174003794789314,0.48257941007614136,-0.5857743620872498,0.490478515625,,,,,,,,
itaishapira,lenet,FashionMNIST,l2,0.0001,0.31501994450887044,0.3559661002874374,88.59333333333333,87.03,2023-11-07_08-47-57,10.0,0.001,cpu,256,42,128576,2079.323176383972,27.699970960617065,0.64644855260849,-0.57709801197052,0.490478515625,,,,,,,,
